Symbol
MSFT
AAPL
GOOGL
GOOG
AMZN
NVDA
META
BRK.B
BRK.A
LLY
TSLA
AVGO
V
TSM
JPM
NVO
UNH
WMT
MA
XOM
JNJ
PG
HD
ASML
MRK
ORCL
COST
ABBV
AMD
ADBE
CVX
CRM
TM
BAC
KO
NFLX
PEP
ACN
MCD
TMO
SAP
NVS
SHEL
CSCO
AZN
LIN
ABT
TMUS
BABA
DHR
CMCSA
INTC
INTU
WFC
DIS
VZ
AMGN
IBM
PDD
CAT
NOW
QCOM
BHP
TTE
NKE
PFE
HSBC
UNP
AXP
BX
GE
TXN
PM
SPGI
MS
UBER
AMAT
RY
ISRG
RTX
COP
SYK
HON
HDB
T
BA
GS
LOW
BKNG
BUD
UL
SONY
UPS
RIO
PLD
NEE
SNY
BLK
MDT
ELV
SCHW
TJX
MUFG
LRCX
DE
VRTX
PANW
TD
ETN
PBR.A
SHOP
C
PBR
PGR
SBUX
MDLZ
LMT
ADP
REGN
CB
BMY
BP
UBS
GILD
MU
MMC
ADI
ABNB
CI
BSX
CVS
RACE
AMT
MELI
FI
ZTS
IBN
ANET
INFY
SNPS
EQNR
DEO
GSK
HCA
KLAC
CNI
CDNS
SHW
KKR
EQIX
RELX
CP
WDAY
ITW
WM
ENB
SO
CME
DUK
MO
MCO
CRWD
ARM
GD
CSX
ICE
SNOW
MAR
STLA
SLB
CL
SMFG
TRI
BDX
CMG
BMO
PYPL
TGT
MCK
NOC
BTI
SAN
CNQ
PH
EOG
PSX
BN
USB
SCCO
MPC
TT
CTAS
TDG
ORLY
APH
NTES
DELL
LULU
FDX
ITUB
HMC
PNC
ROP
AON
APO
MRVL
EPD
MNST
FCX
APD
VALE
BNS
ECL
AMX
NSC
BBVA
TEAM
NXPI
ADSK
RSG
MSI
PCAR
EMR
GM
E
PXD
CHTR
MMM
EW
COF
CRH
FTNT
AJG
OXY
HLT
NGG
PSA
TFC
TRV
AIG
MET
AZO
DHI
WELL
ROST
GWW
ET
CPRT
EL
F
CARR
MFG
CCI
VLO
MSCI
COR
DXCM
HUM
KHC
STZ
MCHP
NUE
SPG
SRE
AFL
HES
TAK
ODFL
ING
O
KDP
DDOG
TEL
URI
NU
PAYX
IDXX
DLR
DASH
BSBR
LEN
LEN.B
BK
WMB
CM
SPOT
SQ
SU
ABEV
CEG
AEP
KMB
ALL
SYY
WCN
TRP
IBKR
HSY
FAST
CNC
AMP
KVUE
OKE
NEM
MFC
WDS
STM
LHX
FERG
CTSH
A
ARES
AME
LNG
IQV
HLN
FLUT
D
LVS
KMI
MPLX
DOW
CTVA
PRU
OTIS
MRNA
JCI
PLTR
FIS
ALC
GIS
EA
IT
ZS
YUM
BCE
VRSK
QSR
BIDU
GPN
PCG
BIIB
CMI
TTD
CSGP
EXC
IR
LYG
GEHC
VEEV
KR
PPG
XEL
NDAQ
SMCI
MLM
CCEP
RCL
ORAN
MDB
ED
FICO
CDW
VMC
HAL
BBD
ACGL
COIN
HUBS
EFX
ROK
VICI
GFS
ON
MPWR
EXR
IMO
BBDO
DLTR
SLF
LYB
WIT
CVE
DG
PWR
ADM
JD
CHT
FMX
FTV
BKR
BCS
ANSS
PEG
FWONK
KEYS
HPQ
TTWO
FWONA
PUK
RMD
SYM
WST
SNAP
XYL
DB
NET
LI
GLW
BF.B
HIG
BF.A
GOLD
FANG
DD
PINS
GIB
DFS
DVN
ZBH
MTD
CBRE
WTW
SPLK
TU
DAL
EIX
CAH
CPNG
RBLX
PKX
NTR
WEC
TSCO
CQP
RCI
WBD
AVB
RKT
NWG
ULTA
TROW
CHD
TCOM
SE
RYAAY
SBAC
EC
TLK
WAB
AEM
AWK
WY
HWM
BR
VOD
APTV
RJF
VRT
FCNCA
NVR
FITB
GRMN
ILMN
EQR
PHM
MT
TEF
TW
FCNCO
DECK
STT
ARGX
OWL
BLDR
DOV
HEI
MTB
HEI.A
BRO
BNTX
STE
IX
EBAY
ALNY
DTE
KOF
JBHT
ICLR
MBLY
WPM
FLT
PTC
ROL
ETR
CCJ
ARE
FE
ALGN
EXPE
WRB
IFF
MOH
CCL
FNV
CUK
BIP
TDY
VRSN
TECK
LYV
INVH
IRM
HPE
ELPC
GPC
DRI
SIRI
BAX
NOK
ZM
CHKP
VTR
FTS
WBA
STLD
CLX
DKNG
CBOE
ES
AXON
PPL
TRGP
UMC
LPLA
WMG
HUBB
PHG
WAT
TS
VLTO
K
WDC
LH
AKAM
PBA
BALL
EBR
MKL
COO
PFG
ERIC
FDS
BAH
DT
CTRA
STX
AEE
HBAN
GMAB
TYL
MKC.V
MKC
LUV
NTAP
EXPD
ENTG
ASX
OMC
WLK
CNP
CINF
IOT
J
KSPI
VIV
KB
ATO
RF
HOLX
JHX
RPRX
TXT
CMS
EPAM
JBL
HRL
BEP
IEX
RS
BEKE
BMRN
EG
NTRS
AER
SHG
CNHI
MGA
L
BBY
BGNE
SWKS
TSN
SYF
ERIE
AVY
CE
VST
AVTR
SUI
IHG
BAM
CSL
WSO
SNA
MANH
MAS
WSO.B
APP
CRBG
MGM
LW
LDOS
BSY
NMR
GDDY
FSLR
ESS
SSNC
CFG
LII
MAA
FOXA
FOX
RIVN
CG
TER
DPZ
GGG
NDSN
CF
TME
PKG
POOL
EQT
XP
YUMC
NWS
VTRS
NWSA
SAIA
BEN
LOGI
SJM
CAG
DGX
NTNX
NBIX
ENPH
SWK
OC
FNF
RPM
HST
OKTA
TAP.A
KIM
GEN
AMCR
UAL
PODD
NICE
H
EDU
WPC
KEY
ELS
ALB
TAP
TRU
CPB
Z
ZG
PSTG
VFS
PATH
GFL
TEVA
MRO
BG
SUZ
TRMB
INCY
RVTY
TPG
RTO
ROKU
LECO
CX
ZTO
WSM
TWLO
AMH
UHAL
DKS
BURL
IPG
ZBRA
LKQ
UHAL.B
U
LNT
AZPN
ESTC
DINO
AFRM
CELH
NRG
ACI
ACM
PNR
GLPI
GFI
SNN
BLD
GRAB
JKHY
RDY
AGR
UDR
KRTX
BAP
SQM
MORN
DOCU
JNPR
CNA
RBA
OTEX
AOS
EVRG
USFD
PFGC
EXAS
IP
RNR
REG
TFX
KMX
ARCC
GL
NI
REXR
TFII
AES
BCH
SRPT
FMS
OVV
UWMC
PAYC
DBX
ALLE
CRL
RYAN
FND
EQH
EME
XPO
GTLB
TPL
LAMR
ALLY
RGEN
WYNN
WPP
FFIV
DAY
SBS
DOX
COTY
WES
CCK
FLEX
PAA
HTHT
HII
ZI
YPF
GLOB
NVT
WMS
PCOR
AEG
TECH
TOL
INFA
ITT
CPT
CLF
X
PAG
MNDY
CASY
MTCH
DVA
LEGN
SCI
UHS
MOS
TOST
QRVO
LSXMA
UTHR
LSXMK
PEAK
CHK
LSXMB
FIVE
BXP
BRKR
PR
WRK
AFG
HSIC
WTRG
EWBC
CTLT
BBWI
LBRDA
EMN
KEP
CUBE
FBIN
TTC
LBRDK
CYBR
PEN
WSC
RL
PARA
PARAA
NLY
QGEN
KNX
AAL
HOOD
WCC
TREX
STN
ELF
CZR
CLH
BIO
GWRE
RRX
UNM
PCTY
KNSL
TPR
ESLT
AGCO
APA
ALV
RGA
CHDN
THC
MEDP
ETSY
SNX
CHE
ASR
TTEK
BSAC
WEX
STVN
SKX
HLI
AIZ
SEIC
ONON
TXRH
WBS
NIO
CVNA
VIPS
TPX
BIRK
CHRW
CW
SWAV
JEF
BJ
PSO
RHI
ATR
COKE
LSCC
BILL
CNM
EGP
WING
MKTX
MTN
NXT
JLL
TIMB
MSTR
APG
FRT
APPF
FIX
S
FTI
PRI
LAD
WWD
IMGN
EXP
XPEV
FN
OLED
DCI
PAC
ONTO
NTRA
CYTK
RBC
CIB
BWA
SSD
COLD
NYT
SKM
ROIV
GNTX
CIEN
LEA
LBTYK
WF
LBTYA
LBTYB
HESM
AMKR
PNW
FHN
UI
ARMK
ORI
GPK
CACI
JAZZ
CHWY
MIDD
FMC
DLB
SF
FSV
MUSA
BWXT
TX
BERY
CERE
LCID
AU
DSGX
GGB
SOFI
IEP
NCLH
DUOL
VOYA
RGLD
BRBR
NNN
COHR
EDR
CFLT
OSK
APLS
ACHC
RMBS
AYI
GPS
CACC
AS
MKSI
LNW
WIX
ELAN
INGR
ASND
EHC
XRAY
PVH
FR
AXTA
TAL
PCVX
KVYO
